0.084	   0.6574 -0.175523  0.148602	 -0.0552372   0.0995145 -0.00897273
0.085	 0.657343 -0.175418  0.148599	 -0.0532772    0.102099 -0.00451091
0.086	 0.657282 -0.175316  0.148595	 -0.0583415    0.103204 -0.00664964
0.087	 0.657222 -0.175208  0.148594	 -0.0565614    0.105468 -0.00227664
0.088	 0.657158 -0.175105  0.148589	-0.0583009   0.106023 -0.0026021
0.089	0.657098   -0.175  0.14859	-0.0562651   0.104708 0.00314064
0.09	0.657037 -0.17489 0.148587	 -0.0578552    0.105728 0.000437568
0.091	 0.656979 -0.174776   0.14859	  -0.0592816     0.107087 -0.000335635
0.092	 0.656918 -0.174661  0.148581	 -0.0599164    0.109498 -0.00272973
0.093	 0.656857 -0.174547  0.148581	-0.0607911   0.111055 -0.0039885
0.094	 0.656799 -0.174429  0.148581	 -0.0607697     0.11342 -0.00462138
0.095	  0.65674 -0.174304  0.148584	 -0.0615093    0.117576 -0.00279702
0.096	 0.656678 -0.174183  0.148585	 -0.0619838    0.119232 -0.00248782
0.097	 0.656617 -0.174066   0.14859	 -0.0638504    0.116438 -0.00175326
0.098	 0.656558 -0.173943  0.148601	-0.0606103   0.118391 0.00406023
0.099	0.656498 -0.17382 0.148611	 -0.057275   0.120848 0.00969166
0.1	 0.656436 -0.173692  0.148617	-0.0582748   0.123385 0.00872867
0.101	 0.656371 -0.173571  0.148624	-0.0604648   0.121648 0.00815135
0.102	 0.656311 -0.173442  0.148634	-0.0606962   0.126007 0.00737633
0.103	  0.65625 -0.173306  0.148645	-0.0598639   0.128042  0.0096518
0.104	 0.656184 -0.173174   0.14865	-0.0655242   0.130949 0.00366151
0.105	 0.656117 -0.173037  0.148649	-0.0658679   0.132136  0.0033643
0.106	0.656049  -0.1729 0.148651	 -0.066481   0.134801 0.00372385
0.107	 0.655982 -0.172764  0.148656	-0.0687639   0.133877 0.00298645
0.108	 0.655914 -0.172625  0.148659	-0.0672877   0.134549 0.00438289
0.109	 0.655841 -0.172487  0.148665	-0.0690798    0.13553 0.00334379
0.11	 0.655774 -0.172346  0.148674	-0.0693946   0.138699 0.00428846
