0.024	0.25 0.28 0.65	   0.554801 0.000471298    0.623173	-4.70134e-05 -0.000857203 -0.000309007
0.025	0.25 0.28 0.65	   0.55482 0.00046646   0.623142	-3.64444e-05 -0.000894372 -0.000300343
0.026	0.25 0.28 0.65	   0.554827 0.000469315    0.623135	-3.61825e-05 -0.000891703 -0.000301698
0.027	0.25 0.28 0.65	   0.554818 0.000474433    0.623148	-3.46746e-05 -0.000868938  -0.00030268
0.028	0.25 0.28 0.65	   0.554793 0.000474606    0.623178	 -4.6399e-05 -0.000841951  -0.00029585
0.029	0.25 0.28 0.65	   0.554763 0.000467249    0.623221	-5.95728e-05 -0.000795493 -0.000273285
0.03	0.25 0.28 0.65	    0.55474 0.000459803    0.623255	-6.98096e-05   -0.0007534 -0.000250267
0.031	0.25 0.28 0.65	   0.55473 0.00045235   0.623272	-8.01665e-05 -0.000729404 -0.000230548
0.032	0.25 0.28 0.65	   0.554735 0.000445474    0.623266	-8.14645e-05 -0.000735853 -0.000217084
0.033	0.25 0.28 0.65	   0.554756 0.000437257    0.623251	-7.79087e-05  -0.00073859 -0.000193191
0.034	0.25 0.28 0.65	   0.554785 0.000419254    0.623224	 -7.2489e-05 -0.000749355 -0.000155483
0.035	0.25 0.28 0.65	   0.554812 0.000397913      0.6232	-6.96001e-05 -0.000761314 -0.000113324
0.036	0.25 0.28 0.65	   0.554834 0.000380543    0.623184	-7.47011e-05  -0.00075889 -7.21122e-05
0.037	0.25 0.28 0.65	   0.554846 0.000373905     0.62318	-7.32209e-05 -0.000732957 -5.72556e-05
0.038	0.25 0.28 0.65	    0.55485 0.000369887    0.623184	-6.20442e-05 -0.000696856 -4.64502e-05
0.039	0.25 0.28 0.65	  0.554848 0.00037046   0.623196	-5.78797e-05  -0.00066223 -3.55618e-05
0.04	0.25 0.28 0.65	   0.554843 0.000377066     0.62321	 -5.8703e-05 -0.000643122 -4.03996e-05
0.041	0.25 0.28 0.65	   0.554836 0.000384937    0.623222	-5.85393e-05 -0.000629264 -4.79064e-05
0.042	0.25 0.28 0.65	   0.554831 0.000398111     0.62323	-6.37701e-05 -0.000620647 -6.24907e-05
0.043	0.25 0.28 0.65	   0.554831 0.000405521    0.623224	-7.35494e-05 -0.000634835 -6.91931e-05
0.044	0.25 0.28 0.65	   0.554835 0.000404008    0.623217	-7.85734e-05 -0.000631553 -5.60464e-05
0.045	0.25 0.28 0.65	  0.554846 0.00040531   0.623196	-7.88517e-05 -0.000653375  -4.6857e-05
0.046	0.25 0.28 0.65	   0.554859 0.000406392    0.623169	-7.34033e-05 -0.000690394 -4.46794e-05
0.047	0.25 0.28 0.65	   0.554872 0.000414094    0.623145	-7.04228e-05 -0.000726652 -5.23377e-05
0.048	0.25 0.28 0.65	   0.554882 0.000427752     0.62312	-6.86505e-05 -0.000772115 -6.60732e-05
0.049	0.25 0.28 0.65	   0.554888 0.000442326    0.623102	-6.83883e-05 -0.000800033 -8.69649e-05
0.05	0.25 0.28 0.65	   0.554886 0.000461671    0.623096	-6.90119e-05 -0.000809426 -0.000114709
0.051	0.25 0.28 0.65	   0.554878 0.000479045    0.623092	-7.56791e-05 -0.000826294 -0.000127991
0.052	0.25 0.28 0.65	   0.554866 0.000495373    0.623093	 -7.7892e-05 -0.000842399 -0.000149545
0.053	0.25 0.28 0.65	   0.554856 0.000512653    0.623088	-8.06584e-05 -0.000868774 -0.000175573
0.054	0.25 0.28 0.65	   0.554851 0.000528238    0.623078	-7.58822e-05 -0.000900123 -0.000187779
0.055	0.25 0.28 0.65	  0.554848 0.00053906   0.623068	-7.02388e-05 -0.000927936 -0.000197886
0.056	0.25 0.28 0.65	   0.554849 0.000553445    0.623051	-6.76902e-05 -0.000961826 -0.000216565
0.057	0.25 0.28 0.65	  0.554851 0.00056611   0.623035	-6.78616e-05 -0.000991015 -0.000226477
0.058	0.25 0.28 0.65	   0.554855 0.000571589    0.623013	-7.39917e-05  -0.00103195 -0.000222728
0.059	0.25 0.28 0.65	   0.554853 0.000578633    0.623002	-7.8303e-05 -0.00105495 -0.00022913
0.06	0.25 0.28 0.65	   0.554851 0.000583166    0.622991	-8.53677e-05  -0.00108376 -0.000220112
0.061	0.25 0.28 0.65	   0.554846 0.000593881    0.622985	-8.92214e-05  -0.00109377 -0.000230965
0.062	0.25 0.28 0.65	   0.554841 0.000602002    0.622981	-9.27294e-05  -0.00110667 -0.000232484
0.063	0.25 0.28 0.65	   0.554834 0.000612781    0.622982	-9.20241e-05  -0.00110847 -0.000236653
0.064	0.25 0.28 0.65	   0.554826 0.000620394    0.622986	-8.95699e-05  -0.00110701 -0.000236568
0.065	0.25 0.28 0.65	   0.554818 0.000622296    0.622988	-8.15247e-05  -0.00110891 -0.000232422
0.066	0.25 0.28 0.65	   0.554809 0.000622671     0.62299	-7.51105e-05  -0.00111345 -0.000218001
0.067	0.25 0.28 0.65	   0.554801 0.000618154    0.622995	-6.82418e-05  -0.00110611 -0.000193073
0.068	0.25 0.28 0.65	  0.554797 0.00061392   0.622996	-6.69929e-05  -0.00110255   -0.0001743
0.069	0.25 0.28 0.65	   0.554796 0.000610672    0.622991	-6.86898e-05  -0.00110673 -0.000150882
0.07	0.25 0.28 0.65	   0.554796 0.000607735    0.622989	-7.21252e-05  -0.00110949 -0.000127581
0.071	0.25 0.28 0.65	   0.554796 0.000604803    0.622992	-8.24727e-05  -0.00110157 -0.000107836
0.072	0.25 0.28 0.65	   0.554794 0.000603699    0.622994	-9.19392e-05  -0.00109557 -8.09596e-05
0.073	0.25 0.28 0.65	    0.55479 0.000601401    0.622998	-9.91777e-05  -0.00108426 -6.19186e-05
0.074	0.25 0.28 0.65	   0.554784 0.000593496    0.623007	-9.79091e-05  -0.00106457 -3.49445e-05
0.075	0.25 0.28 0.65	  0.554774 0.00058792   0.623018	-9.02065e-05  -0.00104816 -2.71839e-06
0.076	0.25 0.28 0.65	   0.554764 0.000581209    0.623031	-8.03088e-05  -0.00102585  2.64651e-05
0.077	0.25 0.28 0.65	   0.554757 0.000577253    0.623039	-7.34055e-05   -0.0010137  4.95425e-05
0.078	0.25 0.28 0.65	   0.554753 0.000578203    0.623047	-6.53785e-05  -0.00100201  6.74048e-05
0.079	0.25 0.28 0.65	   0.554748 0.000572679    0.623053	-6.38974e-05 -0.000991023  0.000103662
0.08	0.25 0.28 0.65	   0.554744 0.000576231    0.623057	-6.61953e-05 -0.000985433  0.000118921
0.081	0.25 0.28 0.65	  0.554741 0.00056989   0.623064	-7.16695e-05 -0.000969323  0.000161943
0.082	0.25 0.28 0.65	   0.554738 0.000565051    0.623067	-7.54051e-05 -0.000963535  0.000198879
0.083	0.25 0.28 0.65	   0.554734 0.000564187    0.623071	-8.07879e-05 -0.000955793  0.000223393
0.084	0.25 0.28 0.65	   0.554729 0.000564144    0.623076	-8.43566e-05 -0.000944291  0.000259058
0.085	0.25 0.28 0.65	   0.554725 0.000563723    0.623081	-8.70369e-05 -0.000931083  0.000288791
0.086	0.25 0.28 0.65	    0.55472 0.000563654    0.623088	-8.52019e-05 -0.000916091  0.000317324
0.087	0.25 0.28 0.65	   0.554713 0.000570442    0.623097	-8.18745e-05 -0.000899831  0.000340961
0.088	0.25 0.28 0.65	   0.554704 0.000576943    0.623109	-8.09537e-05 -0.000881303   0.00036211
0.089	0.25 0.28 0.65	   0.554698 0.000584052    0.623115	-7.3456e-05 -0.00087468 0.000379176
0.09	0.25 0.28 0.65	    0.55469 0.000586443    0.623123	-7.35813e-05 -0.000860719  0.000409486
0.091	0.25 0.28 0.65	   0.554683 0.000585223    0.623127	-7.11117e-05 -0.000852834  0.000450639
0.092	0.25 0.28 0.65	   0.55468 0.00059241    0.62313	-6.96331e-05 -0.000843441  0.000466823
0.093	0.25 0.28 0.65	  0.554675 0.00060074   0.623134	-7.55416e-05 -0.000838162  0.000493592
0.094	0.25 0.28 0.65	   0.554673 0.000609542    0.623133	-7.94394e-05  -0.00083901   0.00051966
0.095	0.25 0.28 0.65	   0.554671 0.000615964    0.623133	-8.78799e-05 -0.000835503  0.000544016
0.096	0.25 0.28 0.65	   0.554666 0.000618145    0.623139	-9.15509e-05 -0.000821561  0.000581989
0.097	0.25 0.28 0.65	   0.554659 0.000623584    0.623145	-9.11518e-05 -0.000810121  0.000612055
0.098	0.25 0.28 0.65	   0.554651 0.000630439    0.623151	-9.24973e-05  -0.00079908  0.000634693
0.099	0.25 0.28 0.65	   0.554643 0.000638469     0.62316	-9.09082e-05 -0.000785744  0.000665236
0.1	0.25 0.28 0.65	   0.554637 0.000645614    0.623163	-8.40607e-05 -0.000781815  0.000692241
0.101	0.25 0.28 0.65	    0.55463 0.000654083    0.623168	 -8.1044e-05 -0.000770619  0.000715099
0.102	0.25 0.28 0.65	   0.554625 0.000656661    0.623172	-8.06828e-05 -0.000763639  0.000752685
0.103	0.25 0.28 0.65	    0.55462 0.000662029    0.623177	 -7.8052e-05 -0.000750165  0.000787238
0.104	0.25 0.28 0.65	   0.554615 0.000667239    0.623179	-7.93961e-05 -0.000740775  0.000818203
0.105	0.25 0.28 0.65	   0.554611 0.000670029    0.623182	-8.20783e-05  -0.00073132  0.000862258
0.106	0.25 0.28 0.65	   0.554605 0.000674061    0.623187	-8.42046e-05 -0.000720611  0.000897607
0.107	0.25 0.28 0.65	   0.554601 0.000672571    0.623182	 -8.4933e-05 -0.000729344  0.000939771
0.108	0.25 0.28 0.65	   0.554596 0.000677593    0.623187	-8.68473e-05 -0.000715549   0.00097928
0.109	0.25 0.28 0.65	   0.554587 0.000684714    0.623195	-8.75282e-05 -0.000698783   0.00101231
0.11	0.25 0.28 0.65	   0.554581 0.000690507    0.623201	-8.99694e-05 -0.000690592    0.0010453
0.111	0.25 0.28 0.65	  0.554573 0.00069346   0.623208	-8.64676e-05 -0.000676051   0.00109164
0.112	0.25 0.28 0.65	   0.554565 0.000697748    0.623214	-8.11346e-05 -0.000663051   0.00113093
0.113	0.25 0.28 0.65	   0.554559 0.000695989    0.623217	-7.74956e-05 -0.000655536   0.00117906
0.114	0.25 0.28 0.65	   0.554553 0.000700762    0.623218	-7.54228e-05 -0.000648741   0.00122332
0.115	0.25 0.28 0.65	   0.554549 0.000701452    0.623219	-7.40198e-05 -0.000643372   0.00127162
0.116	0.25 0.28 0.65	   0.554545 0.000702606    0.623218	-7.20824e-05 -0.000642404   0.00131552
0.117	0.25 0.28 0.65	   0.554541 0.000705334    0.623221	-7.36099e-05 -0.000631483   0.00136404
0.118	0.25 0.28 0.65	   0.554535 0.000706472    0.623224	-7.96516e-05    -0.000621   0.00141897
0.119	0.25 0.28 0.65	    0.55453 0.000712111    0.623226	-8.31901e-05 -0.000615646   0.00145745
0.12	0.25 0.28 0.65	   0.554522 0.000716779    0.623231	-8.92956e-05 -0.000604209   0.00150273
0.121	0.25 0.28 0.65	   0.554514 0.000719248    0.623233	-8.97908e-05 -0.000600345    0.0015526
0.122	0.25 0.28 0.65	   0.554505 0.000721535     0.62324	-8.49108e-05 -0.000584253   0.00159971
0.123	0.25 0.28 0.65	   0.554497 0.000730415    0.623243	 -8.1266e-05 -0.000578145    0.0016371
0.124	0.25 0.28 0.65	   0.554491 0.000734906    0.623245	-7.89481e-05  -0.00057582   0.00168662
0.125	0.25 0.28 0.65	   0.554484 0.000738584    0.623246	-7.74579e-05 -0.000573257   0.00173232
0.126	0.25 0.28 0.65	   0.554477 0.000744402    0.623248	-7.66587e-05 -0.000564014   0.00177503
0.127	0.25 0.28 0.65	   0.554472 0.000748609    0.623249	 -7.7899e-05 -0.000560564   0.00182704
0.128	0.25 0.28 0.65	   0.554466 0.000756417    0.623246	-7.72015e-05 -0.000566544   0.00186495
0.129	0.25 0.28 0.65	   0.554459 0.000759314    0.623249	-7.97875e-05 -0.000558772     0.001917
0.13	0.25 0.28 0.65	   0.554451 0.000761968    0.623249	-8.16427e-05 -0.000559304   0.00196807
0.131	0.25 0.28 0.65	  0.554443 0.00077302   0.623255	-8.36149e-05 -0.000549594   0.00200636
0.132	0.25 0.28 0.65	   0.554434 0.000778995    0.623257	-8.22222e-05 -0.000546867   0.00204991
0.133	0.25 0.28 0.65	   0.554425 0.000786316    0.623261	-8.40764e-05 -0.000543459   0.00209853
0.134	0.25 0.28 0.65	   0.554416 0.000798755    0.623261	-8.39774e-05  -0.00054754   0.00213562
0.135	0.25 0.28 0.65	   0.554406 0.000805777    0.623264	-8.06582e-05  -0.00054316   0.00217364
0.136	0.25 0.28 0.65	   0.554399 0.000815193    0.623264	-7.79269e-05 -0.000542699   0.00221711
0.137	0.25 0.28 0.65	   0.554392 0.000821099    0.623263	-7.84579e-05 -0.000544349   0.00226111
0.138	0.25 0.28 0.65	   0.554383 0.000828097    0.623262	-7.57175e-05 -0.000548421   0.00230729
0.139	0.25 0.28 0.65	   0.554376 0.000837829    0.623262	-7.43043e-05 -0.000548887   0.00235058
0.14	0.25 0.28 0.65	   0.554368 0.000846995     0.62326	-7.68487e-05  -0.00055682    0.0023882
0.141	0.25 0.28 0.65	   0.554359 0.000855006    0.623261	-7.74814e-05 -0.000555835   0.00243065
0.142	0.25 0.28 0.65	   0.554351 0.000861276    0.623261	-8.06456e-05 -0.000558157   0.00247976
0.143	0.25 0.28 0.65	   0.554342 0.000873137    0.623263	-8.12683e-05 -0.000557593   0.00251776
